id	idx	taskidx	option	temporal	status
662	42	11	SAT	LOW	0
663	17	12	MIDSAT	HIGH	0
664	42	12	MIDSAT	LOW	0
665	17	13	UNSAT	HIGH	0
666	42	13	UNSAT	LOW	0
667	17	14	HIDDEN	HIGH	0
668	42	14	HIDDEN	LOW	0
669	17	15	HIDDEN	HIGH	0
670	42	15	HIDDEN	LOW	0
671	17	16	UNSAT	HIGH	0
672	42	16	UNSAT	LOW	0
673	17	17	HIDDEN	HIGH	0
674	42	17	HIDDEN	LOW	0
675	17	18	HIDDEN	HIGH	0
676	42	18	HIDDEN	LOW	0
677	17	19	UNSAT	HIGH	0
678	42	19	UNSAT	LOW	0
679	17	20	HIDDEN	HIGH	0
680	42	20	HIDDEN	LOW	0
681	18	1	HIDDEN	HIGH	0
682	43	1	HIDDEN	LOW	0
683	18	2	SAT	HIGH	0
684	43	2	SAT	LOW	0
685	18	3	MIDSAT	HIGH	0
686	43	3	MIDSAT	LOW	0
687	18	4	HIDDEN	HIGH	0
688	43	4	HIDDEN	LOW	0
689	18	5	HIDDEN	HIGH	0
690	43	5	HIDDEN	LOW	0
691	18	6	SAT	HIGH	0
692	43	6	SAT	LOW	0
693	18	7	SAT	HIGH	0
694	43	7	SAT	LOW	0
695	18	8	MIDSAT	HIGH	0
696	43	8	MIDSAT	LOW	0
697	18	9	MIDSAT	HIGH	0
698	43	9	MIDSAT	LOW	0
699	18	10	HIDDEN	HIGH	0
700	43	10	HIDDEN	LOW	0
701	18	11	UNSAT	HIGH	0
702	43	11	UNSAT	LOW	0
703	18	12	HIDDEN	HIGH	0
704	43	12	HIDDEN	LOW	0
705	18	13	HIDDEN	HIGH	0
706	43	13	HIDDEN	LOW	0
707	18	14	UNSAT	HIGH	0
708	43	14	UNSAT	LOW	0
709	18	15	UNSAT	HIGH	0
710	43	15	UNSAT	LOW	0
711	18	16	MIDSAT	HIGH	0
712	43	16	MIDSAT	LOW	0
713	18	17	HIDDEN	HIGH	0
714	43	17	HIDDEN	LOW	0
715	18	18	UNSAT	HIGH	0
716	43	18	UNSAT	LOW	0
717	18	19	SAT	HIGH	0
718	43	19	SAT	LOW	0
719	18	20	HIDDEN	HIGH	0
720	43	20	HIDDEN	LOW	0
721	19	1	SAT	HIGH	0
722	44	1	SAT	LOW	0
723	19	2	MIDSAT	HIGH	0
724	44	2	MIDSAT	LOW	0
725	19	3	UNSAT	HIGH	0
726	44	3	UNSAT	LOW	0
727	19	4	UNSAT	HIGH	0
728	44	4	UNSAT	LOW	0
729	19	5	HIDDEN	HIGH	0
730	44	5	HIDDEN	LOW	0
731	19	6	HIDDEN	HIGH	0
732	44	6	HIDDEN	LOW	0
733	19	7	UNSAT	HIGH	0
734	44	7	UNSAT	LOW	0
735	19	8	HIDDEN	HIGH	0
736	44	8	HIDDEN	LOW	0
737	19	9	HIDDEN	HIGH	0
738	44	9	HIDDEN	LOW	0
739	19	10	UNSAT	HIGH	0
740	44	10	UNSAT	LOW	0
